General : Specimen number,1
General : Start time,"4/6/2021 1:14 PM"
General : End time,"4/6/2021 1:15 PM"
Test : Test rate,"5.00000",mm/min
Specimen properties : Thickness,"3.00000",mm
Specimen properties : Width,"13.30000",mm
Specimen properties : Length,"50.00000",mm

Time,Extension,Load
(s),(mm),(N)
"17.90000","1.63564","506.15347"
"18.00000","1.64371","507.71713"
"18.10000","1.65220","509.27908"
"18.20000","1.66027","510.65265"
"18.30000","1.66912","512.35999"
"18.40000","1.67718","513.69000"
"18.50000","1.68554","514.90442"
"18.60000","1.69342","515.86761"
"18.70000","1.70206","517.10925"
"18.80000","1.71014","517.98016"
"18.90000","1.71869","518.80164"
"19.00000","1.72677","519.31519"
"19.10000","1.73530","519.93866"
"19.20000","1.74346","520.25677"
"19.30000","1.75201","520.39270"
"19.40000","1.76013","520.29688"
"19.50000","1.76859","520.91754"
"19.60000","1.77664","522.84796"
"19.70000","1.78531","525.10596"
"19.80000","1.79348","527.11719"
"19.90000","1.80230","529.45764"
"20.00000","1.81027","531.54688"
"20.10000","1.81890","533.75830"
"20.20000","1.82705","535.66321"
"20.30000","1.83569","537.74316"
"20.40000","1.84360","539.69312"
"20.50000","1.85235","541.85364"
"20.60000","1.86040","543.58661"
"20.70000","1.86924","545.64154"
"20.80000","1.87714","547.46130"
"20.90000","1.88568","549.42700"
"21.00000","1.89370","551.04089"
"21.10000","1.90239","553.00885"
"21.20000","1.91044","554.84161"
"21.30000","1.91888","556.68500"
"21.40000","1.92684","558.17291"
"21.50000","1.93553","560.05884"
"21.60000","1.94364","561.80756"
"21.70000","1.95225","563.70312"
"21.80000","1.96022","565.23267"
"21.90000","1.96869","567.02887"
"22.00000","1.97676","568.77240"
"22.10000","1.98550","570.79211"
"22.20000","1.99355","572.37140"
"22.30000","2.00203","574.06091"
"22.40000","2.01011","575.57690"
"22.50000","2.01868","577.25299"
"22.60000","2.02692","578.61945"
"22.70000","2.03556","579.97607"
"22.80000","2.04353","581.06299"
"22.90000","2.05194","582.14038"
"23.00000","2.06012","582.78638"
"23.10000","2.06892","583.43750"
"23.20000","2.07715","583.76453"
"23.30000","2.08563","583.82147"
"23.40000","2.09378","584.11090"
"23.50000","2.10245","586.16925"
"23.60000","2.11054","588.28638"
"23.70000","2.11902","590.50018"
"23.80000","2.12705","592.47607"
"23.90000","2.13567","594.70569"
"24.00000","2.14384","596.82257"
"24.10000","2.15229","598.96588"
"24.20000","2.16045","600.91132"
"24.30000","2.16893","602.91492"
"24.40000","2.17696","604.79767"
"24.50000","2.18536","606.87201"
"24.60000","2.19343","608.75189"
"24.70000","2.20222","610.76312"
"24.80000","2.21036","612.55573"
"24.90000","2.21874","614.51178"
"25.00000","2.22683","616.25665"
"25.10000","2.23531","618.05225"
"25.20000","2.24344","619.75012"
"25.30000","2.25195","621.65381"
"25.40000","2.26008","623.32043"
"25.50000","2.26868","625.05481"
"25.60000","2.27683","626.64648"
"25.70000","2.28544","628.43036"
"25.80000","2.29365","630.03076"
"25.90000","2.30203","631.60791"
"26.00000","2.31037","633.15192"
"26.10000","2.31880","634.70587"
"26.20000","2.32705","636.14728"
"26.30000","2.33550","637.73297"
